0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Am,I,the,only,person,that,feels,disrespected,by,the,bird,poop,suddenly,dropping,on,your,front,window:(ewww#annoying,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@donthypeme:,@VSamone:,@donthypeme:,any,favorites,off,yellow,album,?all,of,it,#theperfectanswer,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
AND,#NorthKorea,called,#Barack,a,monkey.,LOL!,RT!,*If,the,shoe,fits!,'Cause,it,sure,looks,like,he,married,one!,http://t.co/F0pGDalfaA,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@_BDOE,bro,u,trash,at,that,zombies,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Dumpster,RT,@baskgod:,Gahbage,RT,@_sirhampton_:,Chicks,that,smoke,are,trash.,No,in,between.,No,debate.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
'Forget,to,"salute,'",trash,the,other,guy,for,the,'bad,war',(during,Cairo,"II),",sympathize,w/,"'Pockistan,'",gays,hurting,morale.,Thanks,King!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
smh,RT,@DailyMail:,NYC,cops,leave,Ebola,doctor's,apt,dump,gloves,and,masks,in,public,trash,can,http://t.co/aTkLOIqFZZ,http://t.co/HVBhWjrKen,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Perspective_pic:,Retweet,if,you,see,the,bird.,http://t.co/o7reXL0teu,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Big,Squawk:,Q:,when,will,DFL,dump,Ryan,"""Uncle","Tom""",Winkler?,},Not,going,to,happen,Berg,Bleat,on.,#mngop,proud,#stribpol,#mnleg,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Pierce,would've,easily,drained,all,these,shots,with,us.,He's,so,trash,now,smh,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@Nashgrier,purple,monkey,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Yankees,getting,killed,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Sometimes,I,wish,I,had,a,cute,pet,"monkey,",but,then,I,remember,it,would,probably,defecate,"everywhere,",beat,me,"up,",and,destroy,my,house.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Buckm00se:,abel,is,a,43,yrs,old,beaner,working,@,home,depot,and,he,didn't,want,to,hang,out,with,you,=,major,L,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Rockprincess818:,Go,fight,against,the,IDF,if,you,progressive,trash,hate,them,so,"much,",you,don't,have,the,guts,to,do,it.,#IStandWithIsr,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@TheDouch3:,Why,would,u,let,ur,girl,even,go,to,a,party,without,u,thats,retarded,lol,u,must,want,to,get,cheated,on,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Nachumlist:,Charlie,Rangel:,The,Things,We,Believe,in,Are,Spiritual,Damn,Things,http://t.co/NwgiJ1mjia,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@WORIDSTARHlPHOP:,This,talking,eggplant,skurred,af,https://t.co/KDwoApyvD0,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
I,found,your,arm,in,that,trash,receptacle,and,your,leg,in,the,mud,down,by,that,stream.You,should,consider,keeping,better,track,of,your,limbs,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Yankees:,VICTORY!,#Yankees,outlast,"A's,",10-9,in,14,innings.,Eduardo,Nunez,the,"hero,",and,oh,"yeah,",FIRST,PLACE,still,resides,in,the,Bronx.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
trash,http://t.co/oeDKEHyyXJ,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
My,head,too,big,for,snapbacks,",",I,like,beanies,better,anyway,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@KateWhineHall,I,starting,laughing,"""worked","out"".not",b/c,I,think,its,funny,that,you,work.,*throws,phone,in,trash,over,butchered,subtweet,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Just,as,trash,as,the,others.,Fixed,none,of,my,issues.,RT,@SheSeauxSaditty:,Naw.,RT,@GlitteryGlossy:,Anyone,download,ios,8.0.2,yet?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@mlbtraderumors:,Offseason,Outlook:,New,YorkYankees,http://t.co/6DtDxdI6ul,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@danwashburn:,The,Man,Who,Captured,Muammar,Gaddafi,Was,Wearing,A,Yankees,Cap:,http://t.co/7G70pOpW,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
!,RT,@mayasolovely:,As,a,woman,you,shouldn't,complain,about,cleaning,up,your,house.as,a,man,you,should,always,take,the,trash,out.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@India_MSM:,can,Raheel,mock,Propphet,Muhammad,in,same,way,as,he,mocked,Lord,Ram,and,Sita,https://t.co/IjeAhR3cJI,<pad>,will,he,apologise,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@MsKeeKee90s:,@t_ndyy,haha,Oreo,lol.,Well,I,gota,do,dee's,video,for,his,dance,"soon,",I,can,show,you,how,to,use,equipment,and,that,x,<pad>,<pad>,<pad>,<pad>,<pad>
@therealjuicyj,@ProjectPatHcp,yea,ho,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
before,and,after,I,started,playing,flappy,bird,.,before:,<pad>,after:,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Going,up,to,the,view,point,and,seeing,star,child.....,What,the,monkey,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@dbrend99:,Even,if,you,hate,the,Yankees,there,is,no,way,you,can't,like,Derek,"Jeter,",he,is,one,of,the,classiest,and,most,respectful,playe,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@SportsCenter:,For,the,last,"time,",The,Captain,takes,the,field,at,Yankee,Stadium.,http://t.co/c9TI4FkSkn,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@AwwAdorable:,I,want,a,pet,monkey,http://t.co/8wy8gDJIEJ,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Fitzpatrick,is,trash,bruh,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@ryancommakerry,@dianaaaxo,@JennaAmendolare,guys,number,42,on,the,Yankees,looks,like,uncle,Stevie,LMAO,IM,DYING,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Me,and,this,song,bird,sang,in,the,same,HS,gospel,choir!,http://t.co/aJ5HwhpRwc,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Charlie,Crist,and,Rick,Scott,are,both,"scumbags,",however,interesting,that,Crist,has,yet,to,run,"one,",just,"one,",positive,political,ad.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
I,am,extremely,sad,to,have,to,admit,that,some,of,the,best,21st,century,Arabic,rhymes,have,been,written,by,Jihadis,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Luke5SOS:,5sos,are,trash,!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@shanetallant,he,won't,bite!,We,promise,he's,a,friendly,bird,:),<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@bjs5555:,ELECT,Democratic,Nominee,Amos,Powers,@Powers2014,2,#Congress,#TN6,DEFEAT,TEA,Diane,Black,#Red2Blue,#TNTweeters,#CIR,http://t.c,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Uncalled,for,@NoBeeetch:,All,trash,"""@Trelaire1st:",16.,Which,one,the,best?,"http://t.co/KmOrdNEZRZ""",<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@AmandaMarcotte:,Not,all,men,interrupt,women,to,quibble,over,irrelevant,issues,for,the,sole,purpose,of,derailing,a,"conversation,",he,sa,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@El_Grillo1:,Islamic,State,suspects,in,Indonesia,are,Chinese,Uighurs,http://t.co/58IDicaHzT,Uighur,Jihadis:,they're,not,just,a,PRC,tool.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
The,fact,that,the,#Bruins,drafted,a,Yankees,fan,just,goes,to,show,how,weak,the,scouting,staff,is,IMO.,Didn't,do,their,homework.,#firechoreli,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
I,hear,the,same,thing,day,in,and,day,out..,its,for,the,birds.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Just,got,done,taking,some,photos,with,brownie,#flowcity,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
KFC,biscuits,trash,now,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
I,been,to,mushroom,mountain,Once,or,twice,but,who's,countin',But,nothin,compares,To,these,blueyellow,purple,pills,http://t.co/fMjlVMEqDO,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Legion,of,jig,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@craigcalcaterra,Hes,behind,the,plate,for,the,game,tonight,here,in,AZ.,Im,looking,to,buy,a,redyellow,Balkamania,shirt,I,can,tear,off,there.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Yankees:,#SpringTraining,Daily,takes,a,look,at,the,#Yankees,"outfield,",perhaps,the,ALs,deepest:,http://t.co/RP3Gz6MDBF,(via,@Yankeeson,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
The,#Yankees,don't,need,Tanaka,or,Beltran,or,all,these,'big,name',players!,#believe,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@GarciaC28,those,nudes,were,trash,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@erinscafe,We,hate,them,more,than,the,Cowboys,and,Yankees.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
<pad>,GRAND,OPENING,!,TOP,CLASS,Oriental,Massage,PERFECT,!,/,http://t.co/dMXPLroaJ2,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Best,behaved,kids,ever,at,mommy's,commercial,audition.,Oreo,McFlurries,for,everybody!,#proudmom,http://t.co/9HFNSmaLcU,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@lildurk_:,S/o,all,my,real,fans,who,can,wait,and,not,want,me,to,put,out,trash,like,other,rappers,#signedtothestreets2,#iGO,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@InduZtriouZ_Neo:,I,am,a,strong,believer,that,birds,of,a,feather,flock,together,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@vexedmentals:,draya,really,out,catching,a,tan,while,her,son,looking,out,the,window,like,the,ikea,monkey,while,everybody,trick,or,treati,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
My,nips,are,cold,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
with,Louisville,(5),losing,last,"night,",a,win,to,#iubb,(7),tonight,should,have,them,back,in,the,top,5!,#ncaa,#basketball,#iu,#hoosiers,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@Chancellor_IV,naw,Bryan,said,it,was,trash,hotel,so,we're,staying,somewhere,else,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@godlevelshit510:,Why,Adonnis,look,like,he,bout,to,sell,the,most,ghetto,used,cars,of,2014,?,http://t.co/icjCf6km8V,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@BlasianBytch:,@graceishuman,@rhiannonrevolts,yellow,face,and,it's,a,no.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@AlexAllTimeLow,@JackAllTimeLow,Please,stay,safe,you,guys!,I,love,you,so,"much,",I,hoe,to,one,day,meet,you,guys!,happy,Halloween,:),<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@_Linsanity22,"derrrrrrr,",1st,of,all,her,songs,are,actually,good,compared,to,the,other,"trash,",+++,shes,SUCH,a,showman,omg,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Homework,and,boonies,date,with,Caitlin,tonight,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Trailor,trash,tina,time,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@RealGilbertthe,hunters,anthem,goes,"""Al",Goreing,we,will,"go,",Hi,ho,the,dairy,O,Al,Goreing,we,will,"go""",<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@120Sports:,Twitter,tipped,its,cap,to,say,#FarewellCaptain,to,Jeter,in,his,Yankee,Stadium,finale.,VIDEO:,http://t.co/QdldmWBwXJ,http://t,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@Charlie4927,@StacyDmomof5,@RevkahJC,@cantUCIMblonde,@Kacado,@PattiSM74,Hi,Charlie,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
"""@itscoleharmon_:",When,twitter,rappers,dm,me,their,trash,links,"http://t.co/35nMR4AUQg""",<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
"""Generate",ASCII,boxes,with,"NodeJS""",all,I,see,is,the,ability,to,bring,flappy-bird,in,node,via,ASCII,tubes,and,bird,^_^,http://t.co/lRJWDFhv7T,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Lol..,shut,up!,RT,@ABrown252:,@VonshayeB,lmao,early,bird,gets,the,worm,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@CapitolEVAN,That's,where,I,saw,the,leprechaun.,He,told,me,to,burn,things.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@Ish_MallyMal,@JayJuice22,all,trash,to,me,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
#Ebola,is,a,great,metaphor,for,how,#GOP,#teaparty,policies,eat,off,of,vital,organs,until,the,host,dies.,#Tcot,#teabaggers,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
#PacerNation,4/4,on,the,road!,Perfect,way,to,continue,after,#iubb,have,finished,#NBA,#Pacers,#indiana,#hoosiers,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@Ncoleycole,y,u,not,on,the,monkey,bars,too,lol,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
