0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
大學,通算,GPA,小,於,3,是,甚麼,感覺,?,錢,賺,比,你,多,就,行,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,什麼,日本,沒,有假,鈔,",",別國,做,不到,?,幣值,太低,",",做假,鈔會,賠錢,你,不,知道,嗎,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
館長,是,中二還,是,霸氣,?,人家,說,是,他,師叔,",",他,拿,證照,回,嗆,",",感覺,就,很,中,二,啊,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
四,X,貓幾時,開始,玩,RO,的,?,真的,超像,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,什麼,不,把,電子流,和,電流,改正,?,我國,中,開始,就,有,這種,疑問,",",到,大學,電路學,老師,也,打,不出,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
軟體,工程,師能,用,開源庫,嗎,?,沒,啥,在,自己,造,的,好,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
你,說,我,饒,舌,不好,聽,?,今天,可以,買,木炭,(,烤肉,),<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
蛇行,機車,一堆,是,受到,電影,影響,嗎,?,心情,不好,啦,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,什麼,空姊要,幫,乘客,擦屁股,?,擺明,歧視亞洲,人,",",航空公司,不,列入,黑名,單,拒載,嗎,!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
怎麼,沒什麼,人講,芒果,感,了,?,沒,看到,一堆,人,被,自己,創,的,名詞,倒,打,回,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
香水,是不是,大坑,?,喜歡,的,買,幾組,就,好,",",為,啥,是,大坑,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
弟弟,不,跟,哥哥,一起,洗,香香,惹,Q,.,Q,?,好久,沒看,你,的,文,了,",",口味,沒,以前,重了,",",難過,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
跟,不熟,的,人類,聊天,要,一開始,聊什麼,比,較,好,?,中二病,不要,發作,就,好,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
馬,爾,祭司,是不是,很,厲害,啊,?,隨便,跟,人,跑,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
9000,條,菸,當籌碼,可以,賭什麼,?,就,封,你,為,澳門,菸,王好,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
請問,這款,桌遊,的,名字,是,什麼,?,看到,圖,直接,笑,出來,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
姆,咪,",",館長,直播,會,有,7,萬人,嗎,?,姆,咪,@,_,<,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
25,歲,執行長,能,把,公司,帶到,哪,?,聽,說後來,又,變成,世界,市值,最高,的,公司,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
教主,懶,叫,斷,惹,QQ,?,哈哈哈哈,哈哈哈哈,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
幾年,次之,後,",",就,沒,有,玩,紅白機,的,回憶,了,?,最近,那個,迷你,紅白機,有,讓,一些,人去,碰,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
關心,同志,議題,是不是,也,是,歧視,的,一種,啊,?,其實,同志,裡面,有,很多,不,認同,自己,身份,的,人會,一直,攻擊同,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,FB,假,帳號,的,八卦,?,FB,",",變成,垃圾,廣告,",",區,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
美國,神話,這次,讓,多少,人,沒,褲子,穿,?,就,一瞬,間,大家,都,美國人,的,樣子,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
漢寶,蚵,仔味細,麵,有,幾成,來,一客,功力,?,真的,屌,打來,一客,",",好,小,的,時候,吃,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有無台,鐵自動,對號,售票,機,的,八卦,?,新竹,站,到,板橋,也,還好,",",以前,當車長,站,過高雄,到,七堵,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
王品,牛排,算是,高級,餐廳,嗎,?,有,沒,有,卦,?,我,只,知道,王品,牛肉,跟,他,說,咬,不爛,",",他會給,你,一,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
長,髮,女生,愛拿,自己,頭,髮,起來聞,?,四周,很,臭,的,時候,會頭,髮,拿,起來聞,",",隔絕,臭味,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
蛋蛋,被,割掉,有多痛,?,狗狗,睪,丸,被,割,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
一直,聽到,有人,在,喊,波羅波羅密,?,般若,(,讀作波,惹,),惹,惹,惹,~,~,~,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,人,攀比,心理,是不是,很,旺盛,?,我,相信,絕對,不是,只有,台灣人,這樣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
彩虹,之橋,?,記得,先出,草,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
黃,種人能,要求,空姐,擦屁股,嗎,?,白洋,腸敢,要求,",",台,男連,跟,女生,說話,都,害羞,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
知道,+,10,三倍,危急,的,拳刃,都,幾歲,了,?,Dos,掛,金字塔,",",生,了,一堆,青骨卡,",",了,無生,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
隱形,眼鏡,隱形,戰機,都,問世,了,",",隱形,斗篷,勒,?,我,有,隱形,保險套,",",有用,就,像,沒用,一樣,",",讚,的,啦,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
臺,灣人,開餐,廳,能力,比,香港,人差,這麼,多,?,你,到底,去,日本,吃過,",",中國人,假冒,成台灣,人開,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
肥宅,肛領,完錢,應該,吃,什麼,?,發錢,啊,",",<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
天氣,冷想,穿,羊毛衣,怎辦,?,跟,羊羊講,啊,",",他會分,一些,毛給,你,",",我,就,這樣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
女朋友,中獎,了,該,怎麼,辦,?,英靈,戰車,開出,來,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,警察,怎麼,那麼,可憐,?,警察,本來,就,很賽,",",是,一堆,人,只會,盲目,說,公務員爽,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
小時候,的,水彩,",",蠟筆,",",真的,會用,完,?,小學,跟,本,不用,自己,帶同學,很,乖,自己,帶,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
早上,被,男同事,說,一起,試試,看,登記,怎麼,辦,?,長,這樣,",",確定,",",男,的,要,你,?,",",同志,標準,很,高,的,說,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
股東會,開到,打架,",",單兵,該,如何,處置,?,有,請,刑警,到場,",",你,去,的,是,哪家,大,公司,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
叫,得出,五月天,哪,一首歌,才,算是,骨灰,級,五粉,?,台語,歌才,是,經典,",",後,來,都,不,寫,台語,了,",",很,悲哀,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
川婿,鬥倒,幕僚,長,?,",",白宮否,認團隊,內鬥,?,有,請,喝,星巴克,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
臺,灣其實,很棒,的,證明,有,哪些,?,台灣,女孩,真的,很棒,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
紫煙,裊裊,升起,",",隔江千萬里,?,好,啦,",",我,知道,你,要,說,日照,香爐生,紫煙,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
晚安,",",晚安,",",晚安,",",你,聽,不,聽,得到,?,還有,",",你,啊,",",你,啊,",",好,嗎,",",好,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
當初,說,穿越,層層,宅,男,的,空姐,現在,在,想,什麼,?,說,是,肥宅,",",可見,平常,是,怎麼,看,人,低,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
綜藝,玩,很大,484,要換,人,了,?,只想,看坤達,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
升,大二,就,自己,一個,人,分發,宿舍,的,是,怪人,嗎,?,疑人不用,",",用人不疑,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
哪種,刀,厲害,?,七星,刀,",",專做生,魚片,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有人,在,橋上,打架,怎麼,辦,?,克里姆,王,:,那,兩個,都,是,小樓,樓等級,而已,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
方芮,欣為,何演,通靈,少女,?,方,(,．,入,．,),欣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
百事,可樂,比,可口,可樂,好喝,",",可口,卻,比,較紅,?,所以,你,想,問什麼,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
讀東吳,城中,區的,學生,有,讀大學,的,fu,嗎,?,騎車,到,西門,吃,不會,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
臉書,好友,同時,有,深,藍,和,深綠,如何,自處,?,不想,看,就,取消,追,蹤,就,好,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
把,戰爭,帶過,",",現在,害怕,戰爭,是,什麼,心態,?,看,不,太,懂,問題,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大家,還讀,的,下,期中考,嗎,?,花學姐,症狀,好轉,了,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
哪裡,有,台灣,貪污,列表,?,kmt,+,扁扁,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
"""",年薪,買車,___,年薪,買房,"""",",",格子,要,填什麼,數字,?,87,年,",",買,一火起,都,是,魯蛇,",",炒起,來,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
這次關,ATP,",",下次,會,不會關,核電廠,安全,機制,?,台灣,人,都,覺得,自己,比,日本,人,厲害,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
老人,常說,:,默默,做,努力,就,會,被,人,看,見,?,22K,一直,請,到,努力,認,真的,人,就,好,!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
