0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
有人,看過,洛克人,第,13,集,嗎,?,",",那個,高,的,人,超甲,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,啥,一定,要,燒香燒,金紙,?,紙錢,我,記得,在,中國,",",有的是,剪成,錢幣,",",用灑,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
手遊,抽卡長,居,非洲,怎麼,辦,的,八卦,?,要,飛去,歐洲,當然花,錢,買,機票,阿,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
如果,口嚼,酒,是,肥宅,做,的,會,怎樣,?,肥宅,只會,被,婆婆,那門,撞頭,而已,一直,撞,一直,撞,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,怎樣,才,算剛,好,的,八卦,?,就是,這樣,",",喵,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台北,是不是,又,老,又,窮,呢,?,我覺,得,單純,當年,只,想,著,反攻,",",沒認,真,做,都,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
如果,中華民國,接管,中國,?,中國,國民黨會,歡喜,回歸,母國,",",台灣,改國,號立,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
G4,?,從頭,到,尾用,小刀,就,戳,死,他,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
蟑螂,跟,肥宅,",",哪個,比,較,噁,心,?,身上,油到,長,蟑螂,的,肥宅,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,普渡,神秘,眉目,的,八卦,?,肥宅,鬼,那會管,那麼,多拉,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
今天,晚上,就,知道,誰,才,是,真正,的,八卦,板友,?,自肥,不,可取,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
物化,女性,和,歧視,甲甲,哪個,比,較,壞,?,政治,正確,比,較,壞,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
豆導,-,鈕承澤,的,邏輯,",",奇怪,的,地方,在,哪,",",?,第一天,不講,男女朋友,",",後,來,突然,冒出,來,",",好,棒棒,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
美國,沒有,黑人,會,怎樣,?,警察,會,很,閒,",",不知,到,要,麻,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,鳳梨,粽子,的,八卦,?,請,正名,",",夏威夷,粽子,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
公車,上,隔壁,男生,的,酸味,?,醒醒,",",整部,車,除了,司機,跟,你,以外,都,沒人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
記者,說,石虎,粿,原料,是,石虎,?,台灣,記者,日常,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
明朝,的,粉絲,比,較,多,9.2,或,五毛,?,現在,清粉,很少,了,吧,",",滿族,殖民,愚化,",",也,不,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
行政院,農業,委員會,?,台灣,賺,大錢,就是,爽,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
法國,吐司,為,什麼,這麼,好吃,<,3,?,高油,高碳,水,很,難,有,難,吃,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
板上,真的,有人,會聞,女生,的,腳,嗎,?,最愛吃,女生,的,腳,了,",",有,時候,一天,要,吃,三四根,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
性,向,到底,是,先天,還是後天,還是,老天,決定,的,?,我個,人,傾向,大多,數人,是,潛,在,雙性,戀,",",只是,沒後天,引發,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
范冰冰,有什麼,獨特,魅力,嗎,?,就,很多,人,的,媽媽,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大學生,要,包,多少,紅包給,爸媽,?,好,有,錢,喔,!,羨慕,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
一等,士官,長,大概,可以,挑戰到,哪個,層級,的,軍官,?,台灣,只有,一個,特等,長,?,可以,介紹,一下,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
醫生,vs,巿,長,薪水,哪個,多,?,一般,人,是,市長,",",但柯,P,應該,是,醫生,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
牛排,料理,法,?,要用,鑄鐵,煎鍋,",",燒到,冒,煙,再,下,肉,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
找,不到,老婆,怎辦,?,沒仔細,看,你,簽名,檔,之前,",",還以,為,只是,一塊,天靈蓋,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
李安點,名羅志翔,拍,新片,",",有,多,人會,崩潰,?,羅,志祥,都,演周星,馳,好,幾部,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
中國動,不動,就,在,送,熊貓,",",是,在,搞,什麼,?,你,不,知道,淪陷區,要,跟,正統,中國納貢,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
尾牙,抽到,最大,的,獎是,什麼,?,抽到,老,闆,的,女兒,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
這樣,算,失業,嗎,?,先繳,國民年,金,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,直銷,商思維,都,怪怪的,卦,?,我,可以,不賣藥,",",臺,灣人,不能,沒有,健康,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
機要,秘書,vs,局長,?,出,了,公司,或,機關,",",地位,還,不是,跟,肥宅,沒,兩樣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
生活,只,在,台北,會想,買,電動車,還是,油車,?,台北,根本,用,不到,車,=,",",=,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有什麼,辦法,可以,報,復,佔,據,網速,的,室友,?,連進,分享,器,限速,啊,",",現在,很多,機子,都,有,限速,功能,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有功,過並,陳,的,八卦,?,然後順,便,酸,南部,人,不,懂,知恩,圖報,只會,選冥進,凍,.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
現今,第四,台,還有,需要,嗎,?,陸劇,還有,一堆,沒,看過,的,台,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
改成,一例,一休,+,砍,七天,會保,幾,?,8,年來,很多,職場,不,都,是,一例,一休,嗎,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
跨年,的,意義在,哪,?,我,的,意思,是,整場,跨,年,的,意義其實,就是,為,了,賺,錢,.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
屬,於,爸媽,那,年代,的,寶可夢,是,甚麼,?,那,年代,應該,都,在,戶外,抓,昆蟲,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,啥,鴨子,沒有,統一,世界,?,因為,能力,都點,在,螺旋,屌,上,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
哪一種,汙染,物,CP,最高,?,肥宅,的,腋下,、,股溝,、,走,一天,的,鞋子,都,集,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,的,符號,密碼,學會,怎麼,上,?,藏,是,國民黨,1949,時帶,來,台灣,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
把,人,的,手,綁,起來,是不是,就,不會,rap,了,?,克勞薩,大人,表示,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
日本,有東,漂族,嗎,?,上京,的,人,超多,好,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
所以,到底,捷運,月票,2500,誰,會,買,啦,?,這人,窮酸到,2500,文,也,要,發好,幾篇,",",真的,不,容易,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
草根,性,是不是,奴性,的,八卦,?,台灣,鄉,下,人,真的,人,很,好,",",很,老實,",",他們,應該,過得,更好,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
坐客,運,遇到,洋妞,該,怎麼,辦,?,終點,站,到,了,",",請,還沒下車,的,旅客,趕緊,下車,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,去,陌生人,家,喝酒,喝到掛,的,八卦,?,女人,精,的,咧,",",算計,很,拿手,所以,肥宅家,都,沒人,去過,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有安潔,拉,勞森,的,八卦,?,若,不是,節目,在,美食,台,",",還,真的,期待,下,一秒,種,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,八卦,沒有,優文,可,看,的,八卦,=,",",=,?,搜妹,",",或,女,等,關鍵,字,就,有,一堆,廢到,笑,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,甚麼,老一輩,喜歡,跟團,不,喜歡,自由,行,阿,?,之前,認識,一個,高職,畢業,去,念,什麼,科大,私立,技職生,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
蹦,蛙,娛樂,和,矮子,娛樂要,選,哪個,?,笑,死,",",送中,",",toyz,是,說,到,6,/,20,日,不,開台,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
養寵物,是不是,一種,虐待,行為,?,狗貓,和,人類,共同,生活,的,歷史,很,久,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
在,路上,被,陌生人,打,",",回敬,他,一拳,合法,嗎,?,你,最好,還,不要,是,海軍陸,戰隊,退伍,",",或是,",",職業,軍人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
批,踢踢,什麼,時候,會,出現,抖,音板,?,真的假,的,抖,音社,=,_,=,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
館長,當過,志願役,班長,為,啥,不撐,到,領終,身,俸,?,20,年,只,當到,班長,",",他,是,惹,多少,人,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
青春,是,段,跌跌撞撞,的,旅行,?,國中,",",肘擊,大,ㄋ,ㄋ,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
碰到,女生,凹,你,會,說,甚麼,?,凹腳,就,好,啦,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
肥宅,愛家,有加,分,嗎,?,肥宅,就給,我,滾,",",<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
烏來覽,勝橋,",",(,01AD9,),",",10,分鐘,/,35mm,?,快,打電話,叫,空心菜,去,救,你,啊,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,台灣,Youtuber,改革家,-,王芳晟,的,八卦,?,話,說,聖,結石,哭哭,大概,說,了,啥,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
這是,什麼,植物,?,可以,吃,?,是,吃,的,",",是,吃,的,",",是,吃,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
鬼島,的,加班,費為,什麼,比,正常,工時,還少,?,台灣,人,只要,餓,不,死,就,會逆來,順受,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
老,闆,被,Karma,",",police,的,卦,?,看到,CREEP,的,現場,就是,爽拉,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
超過,幾歲,不該,有,投票,權,?,一堆,稅金,小偷,還想,投票,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
週末,看,完,神鬼,獵人覺,得,一片,空虛,的,八掛,?,跟本,都,在,拍,風景,",",超,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
什麼,時候,開始,不,太,流行,蓄,鬍,了,?,覺,得,鬍,子,濃,密,的,留,起,來,不,錯,看,",",稀疏,的,就,不行,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
女生,會用,顏,文字,嗎,?,會,喔,^,_,^,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
世界,上,存在,過笑,娼,不,笑,貧,的,時代,嗎,?,人站,在,妓院,外面,就會恥,笑裡面,的,小姐,",",人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
年,羹,堯,守,得,住,街亭,嗎,?,三國,那個,時代,沒有,火槍,",",戰術,有,限制,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
