0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
台灣現,在,還有,成功,的,男子,團體,嗎,?,左手,右手,一個,慢動作,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
空姐,的,學姐,學妹制,很重,嗎,?,每一個,行業,都,有,學長,學弟,制,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
怎麼,幫,駕駛,保持,精神,呢,?,優格,+,地瓜,準備,好,",",放屁,給他,聞,",",選,我,正解,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
高雄,將來,會,有,水龍,敬樂園,嗎,?,性愛,85,大樓,比,較,讚,啦,XD,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
開始,覺得姆,咪,可,愛,是不是,第三,人,效果,的,展現,?,玩,那麼,多,活動,一起,來,是,想,累死,喔,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
老師,上,課,一直,蹦蹦跳,?,他,在,說,妙,禪,啦,",",最近,妙禪,跳跳,影片,很紅,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,chrome,更新,後,變超醜,的,卦,?,我,都,用,c,開頭,的,瀏覽器,",",把,chrome,砍,惹,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
成龍,+,豆導,?,成龍會,用,椅子,耍,特技,",",豆導當,椅子,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
爸媽,看到,孩子,的,薪水,跟,二十年,前一樣,的,心態,?,去,當醫生,更慘,吧,XD,",",20,年前,醫生,比現,在,好,賺,太,多,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
外面,不承,認國,防大學,的,學歷,嗎,?,上,網查,就,好,",",你,被,誆,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,AA,正向,歧視,）,的,八卦,?,人家,女生,捏,",",要,多,照顧,人家,啊,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
如果,昨天,改玩,公主,連結,?,柯屁,下台,啦,",",<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
聽,說,白曉燕案,的,真凶,還沒,伏法,?,應該,會,有人,扯,中國,特工,",",跟,鄭捷,一樣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
空勤,總隊,好像,一直,在,出事,?,上個,月,那件事,ASC,已,立案,調查,再,等等,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大葉學,生現,在,在,想,什麼,?,現在,好,就業,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,周湯,豪買布,My,",",boo,的,八卦,?,mv,女主角,是,鬼鬼,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
捷運,持刀,事件,",",給,英勇,無畏,的,賈姓,站,長,?,把,危險,因子,去除,惹,當然,繼續,開,啊,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
陽明,醫學院,VS,.,國防,醫學院,?,竟然,會問,這種,問題,",",建議,國防,直接,簽,下去,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
亞洲,哪,一國,女性,最美,?,英國,研究,台灣,B,",",香港,A,",",日本,C,",",越南,D,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
全台,小學放學,時間,?,先買,一輛,廂型車,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台北,燈會,world,",",order,表演,?,團長,退團,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
螺絲,跟,釘子,怎麼,分,?,有,螺紋,就,叫,螺絲,啊,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
要,怎麼,避免,菸,味,的,逆襲,?,哈哈哈,哈哈哈,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
ICRT,為,啥,一直,教客語,?,至少,15,年,了,..,應該,客委會,有,補助,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
料理,比賽,要,去,哪裡,變出,豆皮,阿,?,很,簡單,",",跟,旁邊,的,肥宅,觀眾,借,就,有,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
這塊,雞排,怎麼,惹,?,嘔嘔,嘔,嘔,嘔,嘔,嘔,嘔,嘔,嘔,嘔,嘔,嘔,嘔,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,ktv,的,國語,歌,單國旗,該,用,哪種,的,八卦,?,覺得,沒英語,",",粵語,",",慘,",",粵指,的,是,廣東,",",比,香港,大,很多,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
什麼,植物,最好,種,?,先人,掌長,的,慢,",",黃,金葛好,養,也,很會長,",",很適,合肥,宅,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
為,什麼,韓國,這麼,弱,卻,這麼,晚才,被,併,吞,?,為,什麼,中國,這麼強,這,麽,早就,割地,賠款,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
社交,恐懼,?,做,",",不用,勉強,自己,",",又,沒,有害,到,人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
人工智慧,會作,夢,嗎,?,我,想,知道,AI,會晃,神會,發呆會,靈光,一閃,嗎,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
白石,",",的,肚臍,484,甜甜的,?,茶水,間,只會,有,水泥,棒,喇,",",別騙,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
禮拜,五,颱,風假,大家,要,去,哪,玩,?,所以,台北,市民,不准,放要,放,也,得,下周,補班,補課,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大家,等,100,秒,以上,紅燈,都,在,嘛,?,叫司,機幫,我,買,吃,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,古龍水,超難聞,的,八卦,?,4711,超香,der,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
老婆,的,閨蜜,是不是,「,歸,me,」,?,不是,",",因為,你,會,被,說,是,刻意,幫某,直播,平台,業配,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
好,聽,到,起,雞,皮,疙瘩,的,歌,?,情人,難求,愛人,總是,難留,我,是,容易,受傷,的,女人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
這樣,的,人,該,錄取,他,嗎,?,能,回答,出,這些,問題,該,找,什麼樣,的,人,已,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
yeezy,",",350,",",V2,",",zebra,的,八卦,?,有,看到,8,萬,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大家,以後一,提到,空姐,會,想到,什麼,?,有,擋頭,~,~,~,~,~,~,~,~,~,~,~,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
你,",",沒,",",發現,我,",",躲,在,角落,?,毛毛,der,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
小便,會,因為,食物,改變,氣味,大便,卻,不會,?,大便,味,咖哩,、,咖哩,味,大便,",",選一個,吃,了,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
該,怎麼,扭轉,第一印象,?,記憶喪,失誤,）,",",重設,第一印象,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
客家人,會,怎麼,在,美國,商會,演講,?,省得,說,了,",",心電,感應,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
何謂,從,沒,有,爭議,的,先,做,?,有,爭議,的,等,明年,選完,再,說,",",很困,難,嗎,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
維持,八百,天,都,有,上線,很,難,嗎,?,自宅,警備員,很,簡單,",",可惜,我,不是,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,香港,人喜歡,吃,什麼,的,八卦,?,香港,人好,愛吃,阿宗,麵,線,喔,@,@,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
韓導,的,英文,程度,好,嗎,?,沒有,搭,上,系列,文就給,我,下去,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
被,抓,到,會,怎樣,?,被,抓,到,時,",",他會,說,下次,別,被,我,抓,到,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,寵物,到底,需不需要,穿衣服,的,八卦,?,法國鬥,牛犬,就,沒,多少,毛,啊,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
一直,上傳,女友,照片,的,人,在,想,甚麼,?,蛆,蛆,:,作秀,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
地名,加人名,的,霸主,是,誰,?,中壢,唐希銘,報到,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
如果,開戰,了,要,跑,去,哪裡,?,出門,領槍,殺,9.2,殺來,犯,的,敵人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
越南,大作,戰,哪,一代,最經典,?,從來,沒,有,把,人質,留到,過關,",",死,超快,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
麻原彰晃,的,事件,給我們,什麼,啟示,?,在,台灣,犯案,就,不用,死,了,",",傻傻的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Ptt,在,累格,什麼,辣,?,也,只有,說,啥,過載,",",就,沒後面,說法,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,一束,光,",",那瞬間,?,小模,出現,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
肥宅,做,什麼,運動,有加,分,?,裸跑,阿,",",還,需要,我,教膩,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,的,排水,系統,在,世界,平均,之上,嗎,?,沒,簽聯絡,簿,",",我,真的,超不愛簽,聯絡,簿,的,~,一個,月簽,一次,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
鼓勵,國民,從,事,農業,工作,就業,獎勵,試辦,計畫,有,?,用,想,就,覺得,超級,累,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,CRISPR,的,卦,?,基因,庫,這個,大,",",搞不好,修一個,地方,壞五個,地方,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
pm2.5,高到,連測,站,都,不行,了,?,所以,我,說,吧,!,學問,要,實事求,是,.,這樣,只能,當魯蛇,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,全家,便利商店,很,容易,出事,上新聞,?,媒體,預算,不夠,高,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
蛇,摸,是,P,=,NP,?,問題,知道,了,上,樓何,老師,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
說,陸客,不來,活不下去,的,業者,們,還活,著,嗎,?,觀光導遊,通常,能,抽,23,成,",",你,覺得,商家,賺,多少,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
可以,六點,半,叫,我,起床,嗎,?,你,可以,去,汪,踢,板,徵人,啊,XDDDDDDDD,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
樓下,梗,有,超越,五樓,梗,嗎,?,梧棲尋,吾妻,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
日本,食物,偽裝產地,的,問題,嚴重,嗎,?,"""",務必,"""",考慮,進口,核食,.,台日,友好,?,我,呸,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
迪士尼,動畫片,看過,幾部,?,史迪奇,那部,",",可惜,原作,改去,做,馴龍,高手,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,手搖店,店員抗,壓性,是不是,很,高,的,八卦,?,妹仔多,",",真的,",",交朋友,用,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
彭于,晏會,上,PTT,嗎,?,有,問題,可站,內信,",",別,再問,我,的,卦,了,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
中國會,抵制,吉利,汽車,嗎,?,吉利,的,競爭,中國車,廠,",",就,煽動,人,去,砸,啊,XDD,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
喊,中國,台灣,的,藝人,是不是,都,沒,啥,人氣,=,=,?,他,在,中國撈,很大,耶,",",不是,還當,什麼,導師,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
潮潮,都,喝,哪,種氣,泡水,?,俄羅斯賣,好,便宜,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
請,問有,沒有,台北,就是,天龍,的,八卦,?,你會,覺得龍,山寺,廣州,街,一帶,是,天龍,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
如果,台北,2,日,降雨量,共,600,公,釐,",",情況,如何,?,5,毛比,較,多,啦,就,像,中國,水災,被,台灣,人,笑,一樣,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
在,飯店,要,怎麼,叫,小姐,比較,不會,尷尬,?,問櫃台,小姐,一哭拉爹,死,嘎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
廢除,日文,當初,影響,有,多,大,?,學了,一點,日文,回去,跟,爺奶,說,話,",",他們,只,回,我,台語,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,開始,運動,的,8,掛,?,先去,吃,個,炸雞桶,再,開始,想,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
日本,老人,為何,這麼,愛,工作,?,台灣,不用,工作,70k,",",工作,的,22k,",",懂,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
台灣,的,爸爸,是,中國,還是,美國,?,先,問問,你,希望,你,爸,是,美國人,還是,中國人,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
石,是不是,想,幫二馬坦,啊,?,樣,",",有遊戲,人間,本,錢,的,人,",",羨慕,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
